Name,Task Owner,Status (IT),Estimated Days,Estimated Days Remaining,Due,Priority,Parent Task
Design System Setup,Alice,In Progress,5,3,"December 15, 2024",High,
User Authentication,Alice,Not Started,3,3,"December 20, 2024",High,
Database Schema,Bob,In Progress,4,2,"December 18, 2024",Medium,
API Endpoints,Bob,Not Started,6,6,"December 25, 2024",High,
Frontend Components,Charlie,Not Started,4,4,"December 22, 2024",Medium,
Backend Logic,Charlie,Not Started,5,5,"December 30, 2024",Low,
Testing Framework,Alice,Not Started,2,2,"December 28, 2024",Medium,
Documentation,Charlie,Not Started,3,3,"January 5, 2025",Low,
Deployment Setup,Bob,Not Started,4,4,"January 10, 2025",Medium,
Performance Optimization,Alice,Not Started,3,3,"January 15, 2025",Low,
Login Form,Alice,Not Started,2,2,"December 16, 2024",High,User Authentication
Registration Form,Alice,Not Started,2,2,"December 17, 2024",High,User Authentication
Password Reset,Alice,Not Started,1,1,"December 18, 2024",Medium,User Authentication
User Profile,Bob,Not Started,3,3,"December 19, 2024",Medium,Database Schema
Data Migration,Bob,Not Started,2,2,"December 20, 2024",Low,Database Schema 
