Name,Assignee,Status (IT),Estimated Days,Estimated Days Remaining,Due,Priority,Parent Task,queue_rank,Projected Days to Completion
Design System Setup,Alice,In Progress,5,5,"December 15, 2024",High,,1,5
User Authentication,Alice,Not Started,3,3,"December 20, 2024",High,,2,8
Login Form,Alice,Not Started,2,2,"December 16, 2024",High,User Authentication,3,10
Registration Form,Alice,Not Started,2,2,"December 17, 2024",High,User Authentication,4,12
Password Reset,Alice,Not Started,1,1,"December 18, 2024",Medium,User Authentication,5,13
Testing Framework,Alice,Not Started,2,2,"December 28, 2024",Medium,,6,15
Performance Optimization,Alice,Not Started,3,3,"January 15, 2025",Low,,7,18
Database Schema,Bob,In Progress,4,4,"December 18, 2024",Medium,,1,4
User Profile,Bob,Not Started,3,3,"December 19, 2024",Medium,Database Schema,2,7
Data Migration,Bob,Not Started,2,2,"December 20, 2024",Low,Database Schema,3,9
API Endpoints,Bob,Not Started,6,6,"December 25, 2024",High,,4,15
Deployment Setup,Bob,Not Started,4,4,"January 10, 2025",Medium,,5,19
Frontend Components,Charlie,Not Started,4,4,"December 22, 2024",Medium,,1,4
Backend Logic,Charlie,Not Started,5,5,"December 30, 2024",Low,,2,9
Documentation,Charlie,Not Started,3,3,"January 5, 2025",Low,,3,12
